Word,Frequency
immigration,1493
refugees,866
canada,722
border,569
scheer,507
canadians,475
dont,450
immigrants,443
trudeau,400
stop,319
andrew,314
many,312
people,308
hate,295
party,294
policies,278
lying,270
line,269
canadian,259
trudeaus,250
